epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.114,1.70414,3.26626,1.53588,0.21818,0.61525,0.28423,0.16296,1.43137,2.33001,1.39138,9.12626e-05,9.12626e-05,9.12626e-05
2,475.393,1.38973,1.92045,1.30012,0.27869,0.67538,0.35006,0.20317,1.33081,1.83043,1.33022,0.000179377,0.000179377,0.000179377
3,709.299,1.37939,1.67332,1.30821,0.44005,0.72764,0.51328,0.29673,1.33356,1.56177,1.35746,0.000262904,0.000262904,0.000262904
4,912.717,1.34915,1.54263,1.31824,0.44338,0.78319,0.51602,0.30013,1.3047,1.46733,1.34641,0.000257359,0.000257359,0.000257359
5,1116.18,1.33336,1.36965,1.29642,0.45069,0.75742,0.51857,0.29764,1.32753,1.49803,1.37047,0.000250478,0.000250478,0.000250478
6,1309.17,1.30746,1.30887,1.29031,0.4348,0.73277,0.49487,0.28933,1.29924,1.45534,1.35178,0.000243597,0.000243597,0.000243597
7,1513.36,1.31783,1.26597,1.28801,0.51086,0.83171,0.57761,0.33567,1.30512,1.27749,1.35604,0.000236717,0.000236717,0.000236717
8,1683.77,1.28731,1.22787,1.27872,0.50739,0.82765,0.57481,0.32462,1.34555,1.33884,1.3807,0.000229836,0.000229836,0.000229836
9,1853.58,1.27895,1.15154,1.28222,0.55718,0.86877,0.60283,0.35351,1.2825,1.22628,1.35168,0.000222956,0.000222956,0.000222956
10,2061.29,1.28225,1.11972,1.28718,0.54621,0.83648,0.5901,0.34231,1.30744,1.33636,1.3665,0.000216075,0.000216075,0.000216075
11,2299.5,1.24874,1.08397,1.26087,0.54227,0.8598,0.59617,0.35116,1.27827,1.15295,1.35453,0.000209195,0.000209195,0.000209195
12,2485.07,1.24184,1.0729,1.25784,0.55529,0.885,0.60439,0.35295,1.30121,1.16329,1.36691,0.000202314,0.000202314,0.000202314
13,2699.02,1.24022,1.04493,1.26325,0.5485,0.86107,0.5948,0.34734,1.29301,1.19267,1.36264,0.000195434,0.000195434,0.000195434
14,2919.7,1.214,1.00347,1.23558,0.56645,0.88929,0.61384,0.35613,1.28902,1.09382,1.36462,0.000188554,0.000188554,0.000188554
15,3126.52,1.18144,1.01651,1.23002,0.56396,0.87573,0.60615,0.3443,1.34927,1.14137,1.42186,0.000181673,0.000181673,0.000181673
16,3335.93,1.17085,0.97208,1.21515,0.55705,0.89064,0.60373,0.3539,1.30726,1.09445,1.37055,0.000174792,0.000174792,0.000174792
17,3572.94,1.1829,0.9548,1.22509,0.55143,0.86639,0.60223,0.34745,1.32544,1.20215,1.3983,0.000167912,0.000167912,0.000167912
18,3768.16,1.18908,0.97873,1.22398,0.54832,0.86293,0.58917,0.34312,1.29458,1.21162,1.36149,0.000161031,0.000161031,0.000161031
19,3983.4,1.17044,0.92967,1.2036,0.54396,0.85935,0.58759,0.33679,1.31491,1.18769,1.38091,0.000154151,0.000154151,0.000154151
20,4172.54,1.16546,0.92822,1.20575,0.54728,0.89392,0.5913,0.34401,1.29724,1.13174,1.38043,0.00014727,0.00014727,0.00014727
21,4380.9,1.11952,0.90617,1.18458,0.54769,0.84913,0.58543,0.34333,1.28901,1.20471,1.37843,0.00014039,0.00014039,0.00014039
22,4550.75,1.10266,0.9079,1.17999,0.55222,0.88778,0.59127,0.32971,1.35804,1.11716,1.4317,0.00013351,0.00013351,0.00013351
23,4737.55,1.10444,0.85365,1.16484,0.56419,0.89033,0.59781,0.34883,1.3107,1.11598,1.39605,0.000126629,0.000126629,0.000126629
24,4959,1.08955,0.85319,1.16324,0.54567,0.88804,0.59015,0.34636,1.32523,1.11332,1.40102,0.000119749,0.000119749,0.000119749
