epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.296,1.79443,3.30638,1.42081,0.28243,0.54285,0.33694,0.19359,1.38212,2.33562,1.25718,9.1241e-05,9.1241e-05,9.1241e-05
2,207.575,1.42179,1.88607,1.18956,0.29884,0.68869,0.33878,0.19792,1.3214,1.82446,1.23742,0.000177839,0.000177839,0.000177839
3,308.014,1.39778,1.67351,1.18879,0.40646,0.73562,0.45854,0.27131,1.31014,1.61409,1.23797,0.00025832,0.00025832,0.00025832
4,410.227,1.35107,1.45312,1.18853,0.50837,0.73228,0.58526,0.3398,1.29975,1.46696,1.25387,0.000250478,0.000250478,0.000250478
5,516.949,1.32943,1.31932,1.1724,0.51023,0.77631,0.5967,0.34674,1.32615,1.33883,1.27342,0.000241304,0.000241304,0.000241304
6,620.019,1.33246,1.24117,1.17926,0.50937,0.72996,0.56062,0.32115,1.34806,1.46593,1.29643,0.00023213,0.00023213,0.00023213
7,718.995,1.32444,1.18261,1.17107,0.58842,0.79295,0.63039,0.3734,1.28803,1.29712,1.26079,0.000222956,0.000222956,0.000222956
8,821.177,1.31565,1.14459,1.18084,0.58272,0.85716,0.64678,0.38007,1.28769,1.13654,1.26748,0.000213782,0.000213782,0.000213782
9,921.852,1.29271,1.09733,1.16847,0.5826,0.868,0.64392,0.37803,1.2719,1.13063,1.2488,0.000204608,0.000204608,0.000204608
10,1021.99,1.28483,1.09221,1.16676,0.58853,0.84398,0.64685,0.38334,1.2531,1.13983,1.25228,0.000195434,0.000195434,0.000195434
11,1120.95,1.27605,1.06005,1.15903,0.58633,0.87164,0.64703,0.38325,1.30163,1.0952,1.28799,0.00018626,0.00018626,0.00018626
12,1220.85,1.26036,1.0441,1.16655,0.58822,0.90015,0.64805,0.38666,1.27892,1.06108,1.26641,0.000177086,0.000177086,0.000177086
13,1317.73,1.24526,1.01421,1.1486,0.5734,0.81681,0.64537,0.37836,1.32196,1.21977,1.29634,0.000167912,0.000167912,0.000167912
14,1416.61,1.23049,1.02335,1.14396,0.56681,0.83207,0.62638,0.37077,1.28665,1.17338,1.28137,0.000158738,0.000158738,0.000158738
15,1515.92,1.22083,0.98424,1.13948,0.47915,0.74144,0.55008,0.32527,1.27806,1.49174,1.26403,0.000149564,0.000149564,0.000149564
16,1614.9,1.2202,0.97354,1.12564,0.5406,0.84274,0.6195,0.36267,1.30247,1.20692,1.2836,0.00014039,0.00014039,0.00014039
17,1712.11,1.20334,0.95252,1.13313,0.59819,0.90829,0.64582,0.38632,1.24545,1.04992,1.25705,0.000131216,0.000131216,0.000131216
18,1812.27,1.15696,0.9393,1.1011,0.5855,0.86549,0.62573,0.36456,1.30102,1.11652,1.28987,0.000122042,0.000122042,0.000122042
19,1912.47,1.1891,0.91428,1.11229,0.56984,0.83648,0.61762,0.36168,1.29636,1.21184,1.29039,0.000112868,0.000112868,0.000112868
20,2010.5,1.1662,0.90526,1.10647,0.59151,0.89043,0.62942,0.36714,1.30012,1.08168,1.2991,0.000103694,0.000103694,0.000103694
21,2116.19,1.15469,0.93719,1.16762,0.56561,0.85231,0.61778,0.3594,1.31854,1.17789,1.30669,9.452e-05,9.452e-05,9.452e-05
22,2212.96,1.12009,0.88219,1.14199,0.57425,0.86697,0.6193,0.35614,1.35616,1.17825,1.3473,8.5346e-05,8.5346e-05,8.5346e-05
