epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4388,1.71639,4.192,1.42941,0.11548,0.36088,0.09911,0.06666,1.0979,5.09903,1.13612,9.04603e-05,9.04603e-05,9.04603e-05
2,159.868,1.18505,2.40048,1.12662,0.3863,0.32395,0.16915,0.11807,1.08796,2.33293,1.11827,0.000182764,0.000182764,0.000182764
3,243.006,1.16362,2.13988,1.10259,0.3176,0.36346,0.16533,0.11708,1.06164,2.0225,1.11293,0.000274702,0.000274702,0.000274702
4,312.805,1.10121,1.96345,1.09444,0.37224,0.42976,0.18195,0.13118,1.04115,1.92928,1.11328,0.000276349,0.000276349,0.000276349
5,389.765,1.09194,1.85193,1.09106,0.30695,0.42439,0.22612,0.15738,1.06914,1.9054,1.13909,0.000275798,0.000275798,0.000275798
6,470.788,1.04013,1.73198,1.0957,0.42108,0.39497,0.30546,0.22084,1.02405,1.59816,1.11541,0.000275248,0.000275248,0.000275248
7,547.495,1.043,1.61543,1.09402,0.34075,0.47135,0.29437,0.21412,1.05431,2.11882,1.13028,0.000274697,0.000274697,0.000274697
8,615.623,1.03165,1.47469,1.08064,0.45206,0.46358,0.3912,0.2845,1.00829,1.44127,1.12497,0.000274147,0.000274147,0.000274147
9,688.042,0.9983,1.44905,1.06868,0.56952,0.44452,0.46424,0.32252,1.094,1.64067,1.15975,0.000273596,0.000273596,0.000273596
10,762.19,1.00713,1.41036,1.08016,0.61017,0.42465,0.48296,0.34723,1.06864,1.49135,1.14663,0.000273046,0.000273046,0.000273046
11,835.366,0.97819,1.34164,1.04985,0.60535,0.34188,0.45483,0.32157,1.06616,1.63588,1.16656,0.000272496,0.000272496,0.000272496
12,903.338,0.9747,1.27523,1.06588,0.56425,0.40067,0.49993,0.37336,1.02468,1.31056,1.12178,0.000271945,0.000271945,0.000271945
13,977.728,0.96855,1.26493,1.05599,0.4708,0.52608,0.46569,0.32934,1.04872,1.31306,1.14879,0.000271395,0.000271395,0.000271395
14,1046.38,0.95589,1.21863,1.04074,0.46119,0.51175,0.46007,0.3378,0.98804,1.4203,1.11046,0.000270844,0.000270844,0.000270844
15,1112.29,0.94904,1.17134,1.04366,0.54639,0.40278,0.46181,0.33666,0.98288,1.3667,1.11388,0.000270294,0.000270294,0.000270294
16,1178.92,0.92636,1.12688,1.04066,0.53865,0.43584,0.47648,0.348,1.00965,1.37192,1.1311,0.000269743,0.000269743,0.000269743
17,1247.31,0.93679,1.13465,1.0369,0.72533,0.39297,0.55565,0.39367,1.03633,1.33313,1.14202,0.000269193,0.000269193,0.000269193
18,1321.86,0.90383,1.0745,1.01974,0.53917,0.42203,0.46746,0.3283,0.99812,1.48953,1.12385,0.000268643,0.000268643,0.000268643
19,1389.36,0.92113,1.10712,1.03904,0.37269,0.50235,0.51723,0.36669,1.01745,1.30727,1.13685,0.000268092,0.000268092,0.000268092
